names,scores,logfoldchanges,pvals,pvals_adj
CLDN16,1.262029,1.0344001,0.20693834196767602,0.330859883043234
HSF4,1.2599314,-0.088653296,0.20769407518410332,0.33198144985246986
SCUBE1,1.2564745,1.526523,0.20894398815431547,0.3338630725351481
OXCT1,1.2552662,0.09461328,0.2093821428433852,0.3345340693306122
NOMO3,1.25441,0.46461663,0.2096930116103214,0.3350015997717838
KRBOX4,1.2539864,0.1105731,0.20984695111395502,0.3352183634420853
ZSCAN16,1.25368,0.13314214,0.20995835684730857,0.33533797756379896
ZNF804A,1.2536222,1.0303,0.20997935993460382,0.33534235259278605
AC068775.1,1.2510467,1.3618362,0.2109174685774674,0.3366355737613768
ENTPD4,1.2489417,0.102354854,0.2116864115432694,0.3377454120912382
VBP1,1.2487376,0.101724416,0.21176107963189872,0.33783518838485466
LRRN3,1.248005,1.3135078,0.21202919900281247,0.3381160433290464
GIMAP1,1.2468919,-0.02584525,0.2124371501672092,0.33861954286137064
KLHL26,1.2457714,-0.02404925,0.21284832786203167,0.3392160531095186
PLEKHJ1,1.2447941,0.077427626,0.21320742715013175,0.3397461300656857
CCNDBP1,1.2447655,0.086651124,0.2132179432899568,0.3397461300656857
HECTD2,1.2420527,0.25948235,0.21421710856693876,0.34110140754466767
LYSMD3,1.2405105,0.10179312,0.21478663185396474,0.341919312248192
COMMD8,1.2390192,0.12331687,0.2153384002973061,0.34267883236772734
SRPK2,1.2373807,0.110008895,0.21594576620128625,0.34358580703828573
ENTR1,1.2371294,0.13802189,0.21603902482908,0.3436746261381682
RHOT2,1.2351129,0.026128594,0.21678848768220416,0.3447473949708081
KIR2DL3,1.234861,1.3996509,0.21688221550505293,0.34486657650370456
SYNJ2BP-COX16,1.2333428,0.10059208,0.2174478959265691,0.3457061924935263
NR3C2,1.2316604,-0.1651321,0.21807598440501075,0.3466747315723292
NIBAN3,1.2314647,1.1342525,0.2181490766565044,0.346730886122756
SLC24A4,1.2312553,0.49591234,0.21822739443930417,0.3468253431403154
CECR2,1.2310796,0.7240254,0.21829309141924147,0.3468997275011851
ZYG11B,1.2307669,0.06367825,0.21841007554324565,0.3470555947251868
PAX5,1.2303914,-0.23582397,0.2185505993602107,0.34721878989814214
EVPLL,1.2300196,0.55632627,0.21868979721141313,0.34737982235476744
P3H2,1.229753,0.14104494,0.21878961107231654,0.34750830872827027
AKR1E2,1.2285138,0.54225564,0.21925412312494208,0.34821598085780314
MAST3,1.2269332,0.16469514,0.2198476955661791,0.3490077415087856
CRY1,1.2267423,0.21439171,0.21991946811348262,0.3490914977117363
CCNL2,1.22466,0.0852446,0.22070335552340725,0.35018443750132044
SRRM3,1.2238239,0.15615614,0.22101867613015902,0.3506230942016803
GPR141,1.2236898,0.4718168,0.22106927512891483,0.35064382866637916
C2CD4B,1.2225151,-0.076280944,0.22151289701318955,0.35128677682321413
NUDT4,1.2224616,0.10987311,0.2215331118863071,0.35128849359568914
ST3GAL6,1.2223686,0.30289415,0.22156828049241095,0.35131392039042814
ATP6V1F,1.2212974,0.08308025,0.2219734639162052,0.35188304221323125
PRMT3,1.2212789,0.06787529,0.2219804229770609,0.35188304221323125
KCNK13,1.2199752,0.93870646,0.22247428212651899,0.35256777957232993
LSG1,1.2181919,0.03816397,0.22315105887465359,0.35351825642774065
SNRNP200,1.216916,0.08420013,0.22363617953835924,0.3541951084709578
GFI1B,1.216313,1.4431831,0.22386572668127058,0.35449750820136344
SESN3,1.2146964,0.07177527,0.22448188825050253,0.3552893673103592
ARRDC2,1.2139465,0.15481886,0.22476815198166678,0.3556811202736692
